batch_size,e2e_p50_seconds,e2e_p95_seconds,gpu_p50_seconds,gpu_p95_seconds,measured_steps,method,peak_allocated_mb,peak_reserved_mb,precision,repeat,resource_scope,samples_per_second_e2e,samples_per_second_gpu,scheduler_context,task,warmup_steps
64,0.16379674249037635,0.16991078801220283,0.16375183868408205,0.16981312561035156,500,SSSS,8129.01123046875,8586.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,390.728161176711,390.8353061211843,serial_exclusive_gpu,imagenet100,100
64,0.13406800550001208,0.1379910630057566,0.13402761840820313,0.13794898986816406,500,OOOO,5870.72216796875,6202.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,477.36967340797975,477.51352116902865,serial_exclusive_gpu,imagenet100,100
64,0.13418801949592307,0.15805142401950434,0.13414653015136718,0.1580091552734375,500,OOOO,5872.07763671875,6160.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,476.94272737920886,477.0902380239295,serial_exclusive_gpu,imagenet100,100
64,0.1343116845091572,0.14338911199592985,0.13426329803466797,0.14334230041503906,500,OOOO,5872.28466796875,6198.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,476.5035911349661,476.6753158668472,serial_exclusive_gpu,imagenet100,100
2,0.5172344869934022,0.5299969420011621,0.5171695861816406,0.5299312744140625,500,FFFF,2902.294921875,3234.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,3.86671819125145,3.8672034346922306,serial_exclusive_gpu,loveda,100
2,0.5267590434959857,0.5576563339855056,0.5266943054199218,0.5575946044921875,500,FFFF,2908.326171875,3092.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,3.7968023989231074,3.79726907889282,serial_exclusive_gpu,loveda,100
2,0.5264088395051658,0.5387766810017638,0.5263432006835937,0.5387028198242187,500,FFFF,2900.482421875,3080.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,3.799328297526382,3.7998021013712706,serial_exclusive_gpu,loveda,100
2,0.5891178485035198,0.6026406299788505,0.5890503845214843,0.602576904296875,500,FFFF-AC,1772.04296875,1990.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,3.3949064776774467,3.3952952965554926,serial_exclusive_gpu,loveda,100
2,0.5906945305032423,0.602342302998295,0.590627197265625,0.6022778930664062,500,FFFF-AC,1773.06640625,2038.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,3.3858447923939634,3.386230788658607,serial_exclusive_gpu,loveda,100
2,0.5890989320032531,0.60003582801437,0.5890359191894532,0.5999686889648438,500,FFFF-AC,1771.63671875,1966.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,3.3950154911992874,3.395378676994967,serial_exclusive_gpu,loveda,100
